Finding ID,Title,Severity,Status,Service,Category,CIS Framework,CIS Version,CIS Control,Observation,Recommendation,Resource,Timestamp
M365-ENTRA-007,Limit who can join devices to Entra ID,High,FAIL,Entra ID,Devices,Microsoft 365 Foundations,7.0.0,5.1.4.1,The synthetic tenant value did not satisfy the expected condition.,Replace the all-users join scope with selected identities or no user scope.,mock-resource-7,2026-08-19T09:30:00+00:00
M365-ENTRA-014,Enable the application admin consent request workflow,Medium,FAIL,Entra ID,Applications,Microsoft 365 Foundations,7.0.0,5.1.5.2,The synthetic tenant value did not satisfy the expected condition.,Set the admin consent request policy isEnabled property to true.,mock-resource-14,2026-08-19T09:30:00+00:00
M365-ENTRA-021,Make every active member user MFA-capable,High,FAIL,Entra ID,Authentication,Microsoft 365 Foundations,7.0.0,5.2.3.4,The synthetic tenant value did not satisfy the expected condition.,Track registration coverage until no active member is reported as not MFA capable.,mock-resource-21,2026-08-19T09:30:00+00:00
M365-EXO-004,Enable Safe Attachments policies,High,FAIL,Exchange Online,Exchange Security,Microsoft 365 Foundations,7.0.0,2.1.4,The synthetic tenant value did not satisfy the expected condition.,Review the cited Exchange or Defender policy and approve a tested tenant-wide configuration.,mock-resource-28,2026-08-19T09:30:00+00:00
M365-EXO-011,Apply attachment filtering comprehensively,High,FAIL,Exchange Online,Exchange Security,Microsoft 365 Foundations,7.0.0,2.1.11,The synthetic tenant value did not satisfy the expected condition.,Review the cited Exchange or Defender policy and approve a tested tenant-wide configuration.,mock-resource-35,2026-08-19T09:30:00+00:00
M365-EXO-018,Disable mailbox audit bypass,High,FAIL,Exchange Online,Exchange Security,Microsoft 365 Foundations,7.0.0,6.1.3,The synthetic tenant value did not satisfy the expected condition.,Review the cited Exchange or Defender policy and approve a tested tenant-wide configuration.,mock-resource-42,2026-08-19T09:30:00+00:00
M365-EXO-025,Enable Exchange MailTips,High,FAIL,Exchange Online,Exchange Security,Microsoft 365 Foundations,7.0.0,6.5.2,The synthetic tenant value did not satisfy the expected condition.,Review the cited Exchange or Defender policy and approve a tested tenant-wide configuration.,mock-resource-49,2026-08-19T09:30:00+00:00
M365-FABRIC-004,Restrict Publish to web,Medium,FAIL,Microsoft Fabric,Fabric Security,Microsoft 365 Foundations,7.0.0,9.1.4,The synthetic tenant value did not satisfy the expected condition.,Scope approved capabilities to reviewed security groups and document business exceptions.,mock-resource-56,2026-08-19T09:30:00+00:00
M365-FABRIC-011,Prevent service principals from creating profiles,Medium,FAIL,Microsoft Fabric,Fabric Security,Microsoft 365 Foundations,7.0.0,9.1.11,The synthetic tenant value did not satisfy the expected condition.,Scope approved capabilities to reviewed security groups and document business exceptions.,mock-resource-63,2026-08-19T09:30:00+00:00
M365-SPO-001,Require modern authentication for SharePoint applications,High,FAIL,SharePoint Online,SharePoint Security,Microsoft 365 Foundations,7.0.0,7.2.1,The synthetic tenant value did not satisfy the expected condition.,Test sharing-policy changes with representative sites and approved partner workflows.,mock-resource-70,2026-08-19T09:30:00+00:00
M365-TEAMS-003,Restrict external federation domains,High,FAIL,Microsoft Teams,Teams Security,Microsoft 365 Foundations,7.0.0,8.2.1,The synthetic tenant value did not satisfy the expected condition.,Review effective policy assignments and test changes with representative collaboration scenarios.,mock-resource-84,2026-08-19T09:30:00+00:00
M365-TEAMS-010,Prevent dial-in callers from bypassing the lobby,High,FAIL,Microsoft Teams,Teams Security,Microsoft 365 Foundations,7.0.0,8.5.4,The synthetic tenant value did not satisfy the expected condition.,Review effective policy assignments and test changes with representative collaboration scenarios.,mock-resource-91,2026-08-19T09:30:00+00:00
